gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
PHACTR3,0.8785527947927891,0.36422909581588025,0.8785527947927891,0.03286904888709965,11.468017732103409,5,1.0235811078183294,0.5092574088414206,1.0235811078183294,JUMP-CP_ORF
PHACTR4,0.9214143438781269,0.7210125123605116,0.9012552387053235,0.22181985273259783,12.836369616005062,10,1.0837472835604642,0.8833454520428488,1.0635881783876608,JUMP-CP_ORF
PHAX,0.9626937406690085,0.5344137528801224,0.9626937406690085,0.15355552398492509,14.275614623905899,5,1.1432278447027024,0.7149478569138165,1.1432278447027024,JUMP-CP_ORF
PHB,0.8036473384839465,0.6125227988685729,0.8403234897293862,0.406658226515991,15.631014086235854,15,1.001322268603666,0.8101977289882922,1.0379984198491057,JUMP-CP_ORF
PHB2,0.9109597082481428,0.48462382716551744,0.9109597082481428,0.3743965941878862,15.077190833219102,5,1.1016308078911714,0.675294926808546,1.1016308078911714,JUMP-CP_ORF
PHC1,0.952347249722149,0.3897713554543618,0.952347249722149,0.14303495827269883,10.66966385756954,5,1.0872793178406965,0.5247034235729094,1.0872793178406965,JUMP-CP_ORF
PHC2,0.9336740638124502,0.4228658734426764,0.9336740638124502,0.05769981328463705,7.455036084890411,5,1.027952894922862,0.5171447045530881,1.027952894922862,JUMP-CP_ORF
PHC3,0.8183041613885766,0.3222432242001302,0.8183041613885766,0.0660940910019439,15.310386074487264,5,1.0119243245259901,0.5158633873375437,1.0119243245259901,JUMP-CP_ORF
PHETA1,0.8979719150476713,0.36219217600061593,0.8979719150476713,0.12544808372523453,13.688286146052599,5,1.0710784705437943,0.535298731496739,1.0710784705437943,JUMP-CP_ORF
PHETA2,0.8574329737617173,0.3723510860236253,0.8574329737617173,0.05974333308941445,11.047455138868425,5,0.9971427143152451,0.5120608265771531,0.9971427143152451,JUMP-CP_ORF
PHF1,0.8776305262462847,0.35054070348889,0.8776305262462847,0.15031575081136347,13.169806736917797,5,1.044180221105996,0.5170903983486015,1.044180221105996,JUMP-CP_ORF
PHF10,0.940236723136794,0.41365480416623024,0.940236723136794,0.16930761471593295,12.394343188243635,5,1.0969796516569157,0.5703977326863519,1.0969796516569157,JUMP-CP_ORF
PHF11,0.9698660187656859,0.40187237295169886,0.9698660187656859,0.08114693647702874,12.567769260424612,5,1.1288021502674042,0.5608085044534171,1.1288021502674042,JUMP-CP_ORF
PHF13,0.7566417107988643,0.34846939376087016,0.7566417107988643,0.07413376327444884,12.969332418543743,5,0.9206561416855055,0.5124838246475113,0.9206561416855055,JUMP-CP_ORF
PHF14,0.9086365106894962,0.4071653650719813,0.9086365106894962,0.0677293319733766,12.5490856660922,5,1.0673363633302482,0.5658652177127332,1.0673363633302482,JUMP-CP_ORF
PHF19,0.8785793192565792,0.38437123192443917,0.8785793192565791,0.19406150532627173,9.179068940207577,5,0.9946608352291981,0.5004527478970582,0.994660835229198,JUMP-CP_ORF
PHF20,0.9390511197216671,0.38181695234218227,0.9390511197216671,0.5801749656931543,14.363884857305269,5,1.1207015180739899,0.5634673506945052,1.1207015180739899,JUMP-CP_ORF
PHF20L1,0.9127619822835857,0.7031524755127007,0.897681669642195,0.44154430311626724,16.563803330323772,10,1.122233271079987,0.9126237643091019,1.1071529584385962,JUMP-CP_ORF
PHF21A,0.8601121008391527,0.35833279678603797,0.8601121008391527,0.07538454044090065,11.699249509085865,5,1.0080646467458285,0.5062853426927139,1.0080646467458285,JUMP-CP_ORF
PHF21B,0.9418241856993134,0.4050659356947727,0.9418241856993134,0.17708405834830737,13.325764825380901,5,1.11034617769013,0.5735879276855895,1.11034617769013,JUMP-CP_ORF
PHF23,0.7151282777962129,0.30466204445449474,0.7151282777962129,0.10108320136981058,14.7787965562236,5,0.9020257855578835,0.4915595522161653,0.9020257855578835,JUMP-CP_ORF
PHF5A,0.9064315222178102,0.3723289891306504,0.9064315222178102,0.03365068391575289,11.691735213361856,5,1.0542890398765459,0.5201865067893862,1.0542890398765459,JUMP-CP_ORF
PHF6,0.9144292168962258,0.3765635991192866,0.9144292168962258,0.08984021428543129,14.303782965513099,5,1.0953195470153212,0.557453929238382,1.0953195470153212,JUMP-CP_ORF
PHF7,0.7950825781390278,0.3277914556840056,0.7950825781390278,0.08763391876619328,12.214736326746905,5,0.9495541393889573,0.48226301693393503,0.9495541393889573,JUMP-CP_ORF
PHF8,0.7413686552979298,0.2990871743908208,0.7413686552979298,0.1517809795694311,13.416972803883056,5,0.9110440932953401,0.468762612388231,0.9110440932953401,JUMP-CP_ORF
PHIP,0.910929130661119,0.3988755769804703,0.910929130661119,0.0885049728518264,8.402108158177716,5,1.0171849457901339,0.5051313921094851,1.0171849457901339,JUMP-CP_ORF
PHKA1,0.8888484811824586,0.40030788553556507,0.8888484811824586,0.02484386188252919,10.049846985433216,5,1.015942141875191,0.5274015462282976,1.015942141875191,JUMP-CP_ORF
PHKA2,0.8589909931297792,0.3753569367965894,0.8589909931297792,0.11466376791238304,10.482500615029318,5,0.991556133505443,0.5079220771722532,0.991556133505443,JUMP-CP_ORF
PHKB,0.9135926848695999,0.7143591924992587,0.8867957964072695,0.15427189150216122,11.297561769768556,10,1.0564653558966661,0.8572318635263249,1.0296684674343357,JUMP-CP_ORF
PHKG1,0.813496436658111,0.33095466304656296,0.813496436658111,0.1239135642587062,10.763472157179546,5,0.949614835296723,0.46707306168517493,0.949614835296723,JUMP-CP_ORF
PHKG2,0.892973482090612,0.6142615910837429,0.9084238878342851,0.7925401416136421,25.331979180941044,10,1.2133299981016967,0.9346181070948275,1.2287804038453696,JUMP-CP_ORF
PHLDA1,0.8686705643962086,0.33947558447101267,0.8686705643962085,0.09360654731044395,11.675255966437598,5,1.0163196800941883,0.48712470016899234,1.0163196800941883,JUMP-CP_ORF
