gene,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
ETNK1,0.9709192183915752,0.4897430002598604,0.9709192183915752,0.09572761682623954,4.494003530820757,5,1.0143236607794108,0.533147442647696,1.0143236607794108,JUMP-CP_CRISPR
ETNK2,0.7846900296099492,0.31852287497890847,0.7846900296099492,0.22628080042601387,7.0374686967007465,5,0.852660026185888,0.38649287155484724,0.852660026185888,JUMP-CP_CRISPR
ETNPPL,0.9542792665859718,0.4521941276061756,0.9542792665859718,0.14987740112627476,4.604670555303977,5,0.9987525644954981,0.49666742551570187,0.9987525644954981,JUMP-CP_CRISPR
ETS1,0.729819347635725,0.31669390030395905,0.729819347635725,0.07549776071580927,4.945340529010126,5,0.7775829389652685,0.3644574916335026,0.7775829389652685,JUMP-CP_CRISPR
ETS2,0.9336274889709941,0.43917495225103287,0.9336274889709941,0.09045204665220478,4.657439165913081,5,0.9786104420473134,0.48415790532735214,0.9786104420473134,JUMP-CP_CRISPR
ETV1,0.8977135185533076,0.3758833328577751,0.8977135185533076,0.04011676736774127,4.696084711004198,5,0.9430697219673158,0.42123953627178323,0.9430697219673158,JUMP-CP_CRISPR
ETV2,0.8695480095129564,0.35786110754641987,0.8695480095129564,0.15834091363340833,6.001319744296877,5,0.9275105667975388,0.4158236648310023,0.9275105667975388,JUMP-CP_CRISPR
ETV3,0.25112338322011785,0.11835760983535693,0.2553612792376061,0.1843784075076284,8.263145340517756,5,0.3309313347304078,0.1981655613456469,0.33516923074789606,JUMP-CP_CRISPR
ETV4,0.8092330872450818,0.42020694310920803,0.8092330872450819,0.12347626796414601,5.780121551941115,5,0.8650592456304302,0.47603310149455647,0.8650592456304304,JUMP-CP_CRISPR
ETV5,0.8014166261771565,0.3367514275150276,0.8014166261771565,0.04377465503535445,4.011869483401964,5,0.8401644724272981,0.37549927376516923,0.8401644724272981,JUMP-CP_CRISPR
