broad_id,drug_name,viability_cv,mean_lfc,std_lfc,n_cell_lines
BRD-A30000356-001-02-9,A12B4C3,5.417765651154626,0.1090206911089999,0.5906485555554782,916
BRD-A33603104-003-02-9,RU-SKI-43,1.9788079504882095,-0.24232124212744469,0.479507200493966,914
BRD-A37873789-003-02-9,OCTODRINE,6.431400971399729,-0.0848061396771684,0.5454222891004019,911
BRD-A40257118-001-02-0,BQU57,23.39227479011339,-0.022193256316852095,0.519150750251224,914
BRD-A40504327-003-02-9,"4-PHENYL-1,2,3,4-TETRAHYDROISOQUINOLINE",6.107179665121696,-0.07855495714609509,0.47974923687713816,914
BRD-A41387824-001-06-0,BETA-HYDROXYBUTYRATE,20.0071716211032,-0.025283365658985986,0.5058486358984396,914
BRD-A45499626-001-04-9,UBP-296,0.3622370300602842,-7.995667695495934,2.8963269193654035,914
BRD-A49924714-001-08-9,2-ETHYLHEXYL 4-(DIMETHYLAMINO)BENZOATE,5.5405304422800015,0.07199782481882024,0.39890614018661613,897
BRD-A50062753-001-02-9,LY404187,1.238001610249612,-0.3973562375073227,0.4919276618767928,914
BRD-A52551912-001-02-9,ATB-346,6.923443520786754,0.0704812070598982,0.48797265635608184,914
BRD-A55946879-001-04-9,BW-B70C,3.2237288745866604,-0.1879216690170358,0.6058085105707357,914
BRD-A56359832-001-16-9,ZILEUTON,3.491684378348302,0.13554032767166135,0.47326404476735,911
BRD-A56690687-001-02-9,ITD-1,4.558996719559079,-0.11055110588104516,0.5040021290553133,916
BRD-A60402836-001-01-0,ALLICIN,25.682585705850215,-0.019240090869889245,0.49413528275427676,914
BRD-A60765580-001-03-4,SERATRODAST,2.756087902098084,-0.15411606894844798,0.4247574331477317,916
BRD-A67036568-001-03-9,RBC8,17.47955114422127,0.02600627468839161,0.45457800848640817,916
BRD-A67265925-236-02-6,SODIUM-ASCORBATE,12.832627114826884,-0.03046515688668601,0.39094799832154187,916
BRD-A67976398-001-02-9,DQP-1105,7.028776328477869,-0.06694602042291156,0.47054860363435674,916
BRD-A70182876-001-11-9,AZAPROPAZONE,53.90161095726708,0.010213542215077245,0.5505263789727175,916
BRD-A73891132-001-02-9,OXF-BD-02,12.18330047943049,0.06958497005104029,0.8477745989839955,916
BRD-A74328360-409-02-8,ANTIMONYL,1.604642317608477,-0.7125765691098261,1.1434305173298884,914
BRD-A75015151-001-08-9,NKY-80,3.613531493215878,0.1694370556825483,0.6122661368266606,916
BRD-A75514485-001-02-9,CIM-0216,4.43603737555118,0.1416654456582695,0.6284332117641981,914
BRD-A77118605-237-09-5,D609,10.210432740755268,-0.04673186290635726,0.47715254305555677,916
BRD-A79726147-001-02-9,CCG-1423,1.9506672417582709,0.3062401721151254,0.5973726718553898,916
BRD-A84465106-001-09-5,NISOLDIPINE,1.2010607086755498,-0.4898176582412421,0.5883007437290245,914
BRD-A86468475-300-02-9,SR-3677,2.6767480080157906,-0.23869674946783404,0.638931048657869,914
BRD-A87125127-001-03-9,3-MATIDA,3.3301861558634895,-0.1373770482507158,0.4574911442179244,914
BRD-A88644406-001-02-9,AVADOMIDE,9.782786696883823,-0.06336433934351181,0.6198798159865395,911
BRD-A90201073-001-02-9,GPI-688,3.599357907868237,-0.1273337754264022,0.45831983151973893,914
BRD-A90751343-001-02-9,CACCINH-A01,7.723801877820316,-0.06812264747330782,0.5261658324764263,916
BRD-A91386192-001-07-9,TROFOSFAMIDE,13.227549909253012,-0.03077386350270322,0.4070628153825466,911
BRD-A91448670-001-08-9,MANDELIC-ACID,4.512914152409851,-0.0961970747020816,0.4341291398434517,914
