drug,di_raw,di_raw_ci_low,di_raw_ci_high,magnitude_cv,mean_norm,n_contexts,di_corrected,di_corrected_ci_low,di_corrected_ci_high,dataset
Berberine (chloride hydrate),0.8847126135911612,0.8456513981837778,0.886223006034447,0.43769925248969765,63.91437582122165,50,0.8765633793244177,0.8375021639170344,0.8780737717677036,Tahoe-100M
Bergenin,0.8999780408458042,0.8623266421994625,0.9002574428498346,0.47420558950227426,53.11790462500482,50,0.8932053822226722,0.8555539835763305,0.8934847842267025,Tahoe-100M
Bimatoprost,0.8588525025803988,0.8179857040117842,0.8659398236789813,0.47966606292627506,48.62340574934708,50,0.8526529032069072,0.8117861046382926,0.8597402243054897,Tahoe-100M
Busulfan,0.8316230509147191,0.7898710482812743,0.8410005160008855,0.4416849760769377,50.28230324215385,50,0.8252119381826177,0.7834599355491729,0.8345894032687842,Tahoe-100M
Cepharanthine,0.7952796556015437,0.7459052507833489,0.8076445051958903,0.4720506055756773,49.027082144668995,50,0.789028586531741,0.7396541817135462,0.8013934361260876,Tahoe-100M
Chlorhexidine (diacetate),0.8696380274520912,0.8301227916155666,0.8729705627004655,0.47648607945189797,52.18593684090203,50,0.8629841969283363,0.8234689610918117,0.8663167321767106,Tahoe-100M
Ciclopirox,0.899524675490996,0.8612770181713648,0.8994829865311478,0.4501530682074655,55.043497143627086,50,0.8925064992619277,0.8542588419422965,0.8924648103020795,Tahoe-100M
Clonidine (hydrochloride),0.9193466487511062,0.8855852192824476,0.912360022846407,0.2780977155600176,100.23782401013636,49,0.9065660888261827,0.8728046593575242,0.8995794629214836,Tahoe-100M
Clotrimazole,0.8622387092959307,0.8181884872791175,0.8660044673735219,0.4808092735788674,54.91490260784517,50,0.855236929174687,0.8111867071578738,0.8590026872522781,Tahoe-100M
Cloxacillin (sodium),0.9379772873091379,0.9046147653111977,0.9294013336442205,0.2906282455413628,97.75043922824437,49,0.9255138748340443,0.8921513528361041,0.916937921169127,Tahoe-100M
Cysteamine (hydrochloride),0.9481632949812662,0.9160766805270132,0.938898847823305,0.3107128127949297,90.27987081244618,49,0.9366523976695276,0.9045657832152746,0.9273879505115664,Tahoe-100M
Darinaparsin,0.8759628712577798,0.8381658352952467,0.875269659305619,0.3100653955616174,84.28691577194111,49,0.8652160899050508,0.8274190539425177,0.86452287795289,Tahoe-100M
Demeclocycline,0.8893062853882675,0.8494308274496203,0.8913468778350704,0.49707470003261817,47.92815644321819,50,0.883195331947661,0.8433198740090138,0.8852359243944639,Tahoe-100M
Diammonium Glycyrrhizinate,0.8714991212631165,0.8296167557562142,0.8744491937013806,0.4539760778361415,58.59508607229112,50,0.8640281090354645,0.8221457435285622,0.8669781814737286,Tahoe-100M
Docetaxel,0.885753124292854,0.8484357222482791,0.8842844648741408,0.3242247858430052,79.76448548801204,49,0.8755829635104618,0.8382655614658869,0.8741143040917486,Tahoe-100M
Elagolix sodium,0.8542272217578595,0.8138890723981804,0.8588409463136982,0.4171726358038304,55.639569257130496,50,0.8471330449228179,0.8067948955631389,0.8517467694786567,Tahoe-100M
Fluvoxamine (maleate),0.93176997177622,0.8987147917932261,0.9244415817392085,0.2884204892292227,95.2757369650525,49,0.9196220896997899,0.886566909716796,0.9122936996627784,Tahoe-100M
Folic acid,0.9526744738551112,0.921559089271826,0.9431013616892042,0.24666112353845174,103.67463085223073,49,0.9394557129194463,0.9083403283361611,0.9298826007535393,Tahoe-100M
Furosemide,0.929079521359897,0.8956670232027323,0.9230394355510028,0.34698466222733554,73.78949026897409,49,0.9196711866167485,0.8862586884595838,0.9136311008078543,Tahoe-100M
Fusidic acid,0.9072067027232276,0.8701997878088686,0.9053761512906262,0.4641000026677235,60.76268158477369,50,0.8994593169348578,0.8624524020204989,0.8976287655022565,Tahoe-100M
Gallic acid,0.8810467254672485,0.8411845070537433,0.8847924663964817,0.4634238077750751,52.29675788906901,50,0.8743787649974276,0.8345165465839224,0.8781245059266608,Tahoe-100M
Gallic acid (hydrate),0.825554728271393,0.7839492431505756,0.8345476418679906,0.4211588071343825,63.12434493591584,50,0.8175062248133229,0.7759007396925055,0.8264991384099205,Tahoe-100M
Gemfibrozil,0.8433730742302871,0.8009084857505708,0.8490767760499501,0.4241156832215067,65.7517660671297,50,0.8349895683562418,0.7925249798765256,0.8406932701759049,Tahoe-100M
Goserelin (acetate),0.894403937463942,0.8540223975220808,0.8947326636509919,0.45545224462478645,51.592754691711086,50,0.887825739068867,0.8474441991270057,0.8881544652559169,Tahoe-100M
Hexylresorcinol,0.8712183577185418,0.8331219036294474,0.8714885479488576,0.4593122831522734,53.980519782705045,50,0.8643357136201264,0.8262392595310319,0.8646059038504421,Tahoe-100M
